# packages in environment at /home/datascience/conda/tensorflow28_p38_cpu_v1:
#
# Name                    Version                   Build  Channel
openssl                   1.1.1s               h7f8727e_0    main
opt_einsum                3.3.0              pyhd3eb1b0_1    main
oracle-ads                2.6.8                    pypi_0    pypi
oracledb                  1.1.1            py38h0a891b7_1    conda-forge
packaging                 21.3               pyhd3eb1b0_0    main
pandas                    1.4.4            py38h6a678d5_0    main
pandavro                  1.7.1                    pypi_0    pypi
pandocfilters             1.5.0              pyhd3eb1b0_0    main
parso                     0.8.3              pyhd3eb1b0_0    main
pcre                      8.45                 h295c915_0    main
pexpect                   4.8.0              pyhd3eb1b0_3    main
pickleshare               0.7.5           pyhd3eb1b0_1003    main
pillow                    9.2.0            py38hace64e9_1    main
pip                       22.2.2           py38h06a4308_0    main
pkgutil-resolve-name      1.3.10           py38h06a4308_0    main
ply                       3.11                     py38_0    main
prometheus_client         0.14.1           py38h06a4308_0    main
prompt-toolkit            3.0.29                   pypi_0    pypi
protobuf                  3.20.1           py38h295c915_0    main
psutil                    5.9.0            py38h5eee18b_0    main
ptyprocess                0.7.0              pyhd3eb1b0_2    main
pure_eval                 0.2.2              pyhd3eb1b0_0    main
pyasn1                    0.4.8              pyhd3eb1b0_0    main
pyasn1-modules            0.2.8                      py_0    main
pycparser                 2.21               pyhd3eb1b0_0    main
pygments                  2.11.2             pyhd3eb1b0_0    main
pyjwt                     2.4.0            py38h06a4308_0    main
pyopenssl                 22.0.0             pyhd3eb1b0_0    main
pyparsing                 3.0.9            py38h06a4308_0    main
pyproj                    3.4.0                    pypi_0    pypi
pyqt                      5.15.7           py38h6a678d5_1    main
pyqt5-sip                 12.11.0          py38h6a678d5_1    main
pyrsistent                0.18.0           py38heee7806_0    main
pysocks                   1.7.1            py38h06a4308_0    main
python                    3.8.13               haa1d7c7_1    main
python-dateutil           2.8.2              pyhd3eb1b0_0    main
python-fastjsonschema     2.16.2           py38h06a4308_0    main
python-flatbuffers        2.0                pyhd3eb1b0_0    main
python-graphviz           0.16                     pypi_0    pypi
python-jsonschema-objects 0.4.1                    pypi_0    pypi
python_abi                3.8                      2_cp38    conda-forge
pytorch                   1.12.1          cpu_py38h39c826d_0    conda-forge
pytz                      2022.1           py38h06a4308_0    main
pyyaml                    5.4.1            py38h27cfd23_1    main
pyzmq                     23.2.0           py38h6a678d5_0    main
qt-main                   5.15.2               h327a75a_7    main
qt-webengine              5.15.9               hd2b0992_4    main
qtwebkit                  5.212                h4eab89a_4    main
re2                       2022.04.01           h295c915_0    main
readline                  8.2                  h5eee18b_0    main
regex                     2022.7.9         py38h5eee18b_0    main
requests                  2.28.1           py38h06a4308_0    main
requests-oauthlib         1.3.0                      py_0    main
rsa                       4.7.2              pyhd3eb1b0_1    main
scikit-learn              1.1.2            py38h6a678d5_0    main
scipy                     1.9.1            py38h32ae08f_0    main
seaborn                   0.12.0           py38h06a4308_0    main
send2trash                1.8.0              pyhd3eb1b0_1    main
setuptools                65.5.0           py38h06a4308_0    main
setuptools-scm            7.0.4            py38h06a4308_0    main
shapely                   1.8.5.post1              pypi_0    pypi
sip                       6.6.2            py38h6a678d5_0    main
six                       1.16.0             pyhd3eb1b0_1    main
sleef                     3.5.1                h9b69904_2    conda-forge
smmap                     4.0.0              pyhd3eb1b0_0    main
snappy                    1.1.9                h295c915_0    main
sniffio                   1.2.0            py38h06a4308_1    main
soupsieve                 2.3.2.post1      py38h06a4308_0    main
sqlalchemy                1.4.44                   pypi_0    pypi
sqlite                    3.39.3               h5082296_0    main
stack_data                0.2.0              pyhd3eb1b0_0    main
sysroot_linux-64          2.17                h57e8cba_10    main
tabulate                  0.8.10           py38h06a4308_0    main
tensorboard               2.8.0            py38h06a4308_0    main
tensorboard-data-server   0.6.0            py38hca6d32c_0    main
tensorboard-plugin-wit    1.8.1            py38h06a4308_0    main
tensorflow                2.8.2           mkl_py38hb41d75a_0    main
tensorflow-base           2.8.2           mkl_py38hf890080_0    main
tensorflow-estimator      2.8.0            py38hb070fc8_0    main
termcolor                 2.1.0            py38h06a4308_0    main
terminado                 0.13.1           py38h06a4308_0    main
terminaltables            3.1.0                    pypi_0    pypi
testpath                  0.6.0            py38h06a4308_0    main
threadpoolctl             2.2.0              pyh0d69192_0    main
tk                        8.6.12               h1ccaba5_0    main
tokenizers                0.11.4           py38h3dcd8bd_1    main
toml                      0.10.2             pyhd3eb1b0_0    main
tomli                     2.0.1            py38h06a4308_0    main
tornado                   6.2              py38h5eee18b_0    main
tqdm                      4.64.1           py38h06a4308_0    main
traitlets                 5.1.1              pyhd3eb1b0_0    main
transformers              4.24.0           py38h06a4308_0    main
typing-extensions         4.3.0            py38h06a4308_0    main
typing_extensions         4.3.0            py38h06a4308_0    main
urllib3                   1.26.12          py38h06a4308_0    main
wcwidth                   0.2.5              pyhd3eb1b0_0    main
webencodings              0.5.1                    py38_1    main
websocket-client          0.58.0           py38h06a4308_4    main
werkzeug                  2.0.3              pyhd3eb1b0_0    main
wheel                     0.37.1             pyhd3eb1b0_0    main
widgetsnbextension        3.5.2                    pypi_0    pypi
wrapt                     1.14.1           py38h5eee18b_0    main
xz                        5.2.6                h5eee18b_0    main
yaml                      0.2.5                h7b6447c_0    main
yarl                      1.8.1            py38h5eee18b_0    main
zeromq                    4.3.4                h2531618_0    main
zipp                      3.8.0            py38h06a4308_0    main
zlib                      1.2.13               h5eee18b_0    main
zstd                      1.5.2                ha4553b6_0    main
